task,model,seed,BCE,AUROC,AUPRC,accuracy,beta_true,beta_hat,lambda0_hat,lambda0_true,n_params,best_epoch,attn_pearson,attn_spearman,attn_mae,attn_js,correct_BCE,constant_age_BCE,shuffled_age_BCE,delta_constant_mean,delta_constant_se,delta_constant_median,delta_constant_frac_pos,delta_shuffle_mean,delta_shuffle_se,delta_shuffle_median,delta_shuffle_frac_pos
T0,no_age,0,0.14112751185894012,0.9888747533751029,0.9883734261284179,0.9428772919605077,0.0,,,0.5,81156,19,0.0223195494673496,0.012425280408355163,0.0947747537205648,0.07083998924375555,0.141127495790243,0.141127495790243,0.141127495790243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,temporal_only,0,0.1432293802499771,0.9878295217219047,0.9877161292791078,0.9337094499294781,0.0,,0.6515038013458252,0.5,81156,19,0.010852998455719572,0.011360736113909599,0.11603391828941353,0.07296935143610633,0.1432293728349087,0.1432293728349087,0.1432293728349087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,late_age,0,0.1405523717403412,0.9891853364949103,0.9889463900038401,0.9393511988716502,0.0,,,0.5,81156,22,0.007890213980206881,0.01236483309826046,0.13446209804791204,0.0890016310201636,0.14055237424813494,0.14041476897705926,0.1401856444781092,-0.00013760527107567504,0.0001303904439100185,3.278510121162981e-07,0.5070521861777151,-0.00036672977002574265,0.00017863410397428835,-4.174798959866166e-07,0.48589562764456984
T0,age_temporal,0,0.14537173509597778,0.9879091584192912,0.9876524037357334,0.9358251057827927,0.0,0.1831836700439453,0.6601830124855042,0.5,81156,23,0.009496131829626112,0.011918194640338504,0.13270834628739628,0.09383437179129502,0.1453717353936404,0.14574483277213202,0.14788586802351744,0.0003730973784916275,0.0007416990743633874,-3.0697610782226548e-06,0.47461212976022565,0.0025141326298770534,0.0009875504164426436,6.854897947050631e-07,0.5091678420310296
T1,no_age,0,0.24509622156620026,0.9654894548348587,0.9692464177872405,0.9090267983074753,1.0,,,0.5,81156,23,0.02223137116432544,0.023121096111223056,0.1687633550780851,0.1680365300402756,0.2450962261614652,0.2450962261614652,0.2450962261614652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,temporal_only,0,0.22974435985088348,0.9708555511341027,0.9723309849812635,0.9083215796897038,1.0,,1.7877813577651978,0.5,81156,12,0.025068604611809212,0.02660017462556249,0.14839539899210996,0.12937893173818465,0.2297443527042922,0.2297443527042922,0.2297443527042922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,late_age,0,0.24719169735908508,0.9653979307600478,0.9689045645117179,0.9062059238363893,1.0,,,0.5,81156,13,0.022743961541211485,0.0228625159513735,0.17026315269003356,0.1728592979026689,0.24719168166444427,0.24726491342989543,0.2472873263712332,7.323176545115274e-05,4.16716839053913e-05,-2.8458889573812485e-06,0.48166431593794073,9.564470678892339e-05,6.180182018444435e-05,-8.069328032433987e-07,0.4922425952045134
T1,age_temporal,0,0.2382296621799469,0.9790131317150814,0.9807246775535973,0.9153737658674189,1.0,1.6216869354248047,0.3107709586620331,0.5,81156,9,0.006041595849182945,0.003959298811202904,0.078071491854825,0.03928578228268399,0.23822967555779812,1.2846860139742717,1.658611294827339,1.0464563384164736,0.0490954979930069,0.11132167908363044,0.844851904090268,1.4203816192695409,0.06055188667061142,0.2167983055114746,0.7320169252468265
T2,no_age,0,0.2289498895406723,0.9689657439673878,0.9680012019199994,0.8984485190409027,-1.0,,,0.5,81156,26,-0.006167545776678631,-0.011125663241319094,0.1266422698775372,0.09196005000951975,0.22894990122465955,0.22894990122465955,0.22894990122465955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,temporal_only,0,0.26099154353141785,0.9601212997886022,0.9604334775487686,0.8935119887165022,-1.0,,1.1871711015701294,0.5,81156,14,-0.0070476610480670965,-0.008415608838740006,0.1327946434874316,0.0988497980330134,0.2609915674372385,0.2609915674372385,0.2609915674372385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,late_age,0,0.23521649837493896,0.9701811327822243,0.9689515357690173,0.8998589562764457,-1.0,,,0.5,81156,17,-0.006692989553497278,-0.013959970447981734,0.15520566657067306,0.13011558975349358,0.23521648352915303,0.2352321844333341,0.23528042960299045,1.5700904181068144e-05,5.080668513427966e-05,-5.711335688829422e-07,0.4992947813822285,6.39460738373944e-05,7.480445549777269e-05,2.066532033495605e-06,0.5098730606488011
T2,age_temporal,0,0.22447146475315094,0.976730285297581,0.9775651208663261,0.8977433004231312,-1.0,-2.816737651824951,0.021911833435297012,0.5,81156,27,0.0036781427902256446,-0.00027872926321445546,0.11738014929463644,0.08548533988917578,0.22447147588784924,0.9449177320362055,1.5374750396620902,0.7204462561483563,0.03988762020916306,0.03809192256449023,0.7997179125528914,1.3130035637742412,0.07490057980830306,0.040639422833919525,0.6889985895627645
T0,no_age,1,0.15296955406665802,0.9878295217219046,0.9877105671601533,0.9351198871650211,0.0,,,0.5,81156,12,-0.0019650843487822663,-0.007058902545503392,0.1266604239250231,0.09105450407927106,0.15296955322094852,0.15296955322094852,0.15296955322094852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,temporal_only,1,0.16468386352062225,0.9862805879577368,0.986151757200556,0.9322990126939351,0.0,,0.583879828453064,0.5,81156,10,0.007287618751051345,0.011350661562227147,0.15373415266839172,0.1254458898093176,0.16468386660477652,0.16468386660477652,0.16468386660477652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,late_age,1,0.10897497832775116,0.9933801995297453,0.9933021072649771,0.9464033850493653,0.0,,,0.5,81156,19,-0.013610106309358393,-0.0046309355900329115,0.097391187094682,0.0722979671127065,0.10897498029549602,0.1089906461344767,0.10891980770571948,1.5665838980679946e-05,8.532901780551849e-05,0.0,0.48730606488011285,-5.517258977654759e-05,0.00011331607588999951,0.0,0.4830747531734838
T0,age_temporal,1,0.1518266499042511,0.9865891801601095,0.9847257778047339,0.9358251057827927,0.0,0.09888903051614761,0.6721703410148621,0.5,81156,23,0.008619457493730786,0.011814090939619852,0.1392481934256392,0.10112238400287003,0.15182664047852124,0.1522861188538373,0.1529638250738883,0.00045947837531607567,0.00043267897417525596,-1.639156380406348e-06,0.461212976022567,0.0011371845953670804,0.0005854643526353622,-2.980304998345673e-07,0.48801128349788436
T1,no_age,1,0.6964438557624817,0.4981904098686829,0.5157361860385752,0.5063469675599436,1.0,,,0.5,81156,1,0.016147219007194902,0.020609174558398825,0.04637020360602115,0.012454556616323342,0.6964438548797612,0.6964438548797612,0.6964438548797612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,temporal_only,1,0.2094188928604126,0.9737763629128531,0.9753369803410676,0.9097320169252469,1.0,,2.079862356185913,0.5,81156,24,0.025395261874886124,0.022664383101618647,0.1279367329254969,0.09342754108240427,0.2094188980278921,0.2094188980278921,0.2094188980278921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,late_age,1,0.6964705586433411,0.4978939514524473,0.5154184984675134,0.5063469675599436,1.0,,,0.5,81156,1,0.0161491095850424,0.020609174558398825,0.04636906308790721,0.012453751181878957,0.6964705152429209,0.6964695111064212,0.6964657132438947,-1.0041364998003659e-06,3.7270425741063227e-06,-1.0818243026733398e-05,0.48166431593794073,-4.80199902619226e-06,5.337364951265113e-06,-4.4405460357666016e-06,0.48801128349788436
T1,age_temporal,1,0.22720646858215332,0.969466772781536,0.9711932153951455,0.9040902679830748,1.0,1.0299738645553589,1.2784004211425781,0.5,81156,21,0.021508152260622446,0.02191550809322319,0.14129377465591228,0.12234721739954309,0.22720645955436267,0.2941943726293049,0.32899311953868715,0.06698791307494227,0.009008352814616895,0.0032671280205249786,0.6650211565585331,0.10178665998432446,0.012450355124598514,0.002371987735386938,0.6234132581100141
T2,no_age,1,0.23081886768341064,0.9710916781730117,0.9695501128803661,0.8984485190409027,-1.0,,,0.5,81156,29,0.004015461050959996,-0.011196185103096244,0.16277460353705236,0.14970395836059838,0.23081887059442996,0.23081887059442996,0.23081887059442996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,temporal_only,1,0.22140662372112274,0.9715778336989462,0.9711478924168936,0.9012693935119888,-1.0,,1.4613388776779175,0.5,81156,30,0.0033689950803785047,-0.012331251259318957,0.1493999141313274,0.12927218804966195,0.22140662019662424,0.22140662019662424,0.22140662019662424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,late_age,1,0.22231915593147278,0.9714343779699819,0.9712157526519226,0.9040902679830748,-1.0,,,0.5,81156,24,0.0036864095896138845,-0.011075290482906843,0.16617539387389993,0.156519399401781,0.22231914406536082,0.22233601433478825,0.222284801373385,1.6870269427412258e-05,6.702291443714091e-05,-5.690380930900574e-07,0.4992947813822285,-3.4342691975833564e-05,9.656719789882082e-05,-9.554496500641108e-07,0.49647390691114246
T2,age_temporal,1,0.23891443014144897,0.966307828100188,0.9653944638047688,0.8935119887165022,-1.0,-1.3706727027893066,1.3053464889526367,0.5,81156,22,0.005234670954945414,-0.00863053260796561,0.15227770853062508,0.12924238717830375,0.23891443850079502,0.27949315903334526,0.40876145647625417,0.04057872053255024,0.008137259556216477,0.005297943949699402,0.6629055007052186,0.16984701797545915,0.01612134377582522,0.004546212963759899,0.6234132581100141
T0,no_age,2,0.13211780786514282,0.9907362611765127,0.9905921303689921,0.9379407616361072,0.0,,,0.5,81156,26,0.013825687339439674,0.009067096514205116,0.11753572310316754,0.08015595048835651,0.13211781720749805,0.13211781720749805,0.13211781720749805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,temporal_only,2,0.14340627193450928,0.98815205034632,0.9879791893841982,0.9365303244005642,0.0,,0.7935760617256165,0.5,81156,13,-0.0007493035698476642,-0.008778292699308214,0.1252298326721826,0.08272228646798832,0.14340628018520513,0.14340628018520513,0.14340628018520513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,late_age,2,0.15264499187469482,0.9869993091516501,0.9863329241914368,0.9344146685472496,0.0,,,0.5,81156,14,0.009145424953016878,0.010054402579085233,0.1287428061734654,0.08515253109450757,0.15264500259235805,0.1526253647907889,0.15262367524579604,-1.9637801569162972e-05,2.0833654236493067e-05,0.0,0.49506346967559944,-2.132734656202566e-05,2.9584307338965482e-05,0.0,0.48801128349788436
T0,age_temporal,2,0.152279794216156,0.988590052181946,0.988404494231011,0.9322990126939351,0.0,0.0763014480471611,0.6876797676086426,0.5,81156,9,0.0032713647231022275,0.0032675129290079957,0.12241100263089487,0.07265951931539891,0.15227980178261122,0.15196460565540665,0.1517883235866657,-0.00031519612720457766,0.00030299993251621033,1.788150711945491e-07,0.5091678420310296,-0.0004914781959455282,0.0004732724095361006,8.940787665778771e-08,0.5021156558533145
T1,no_age,2,0.20687131583690643,0.9743036211699163,0.9769695543979051,0.9069111424541608,1.0,,,0.5,81156,30,0.009400706751747354,0.013295050036940025,0.10618191485531578,0.10268810797989447,0.20687132837898461,0.20687132837898461,0.20687132837898461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,temporal_only,2,0.21375951170921326,0.9729844807003581,0.975073691708469,0.9111424541607899,1.0,,1.2939187288284302,0.5,81156,21,0.01440387289184499,0.013526764725636378,0.1211418308021151,0.0888074641066944,0.21375950865537377,0.21375950865537377,0.21375950865537377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,late_age,2,0.21645115315914154,0.9722542777556704,0.974519042191091,0.9076163610719323,1.0,,,0.5,81156,17,-0.00037307005926053515,3.358183894149781e-05,0.11617047377161242,0.11674724010032544,0.2164511684803174,0.2165241771980963,0.21644328217664868,7.30087177789204e-05,3.430486900742433e-05,-2.0613661035895348e-06,0.4809590973201692,-7.886303668711676e-06,4.9372883240113244e-05,-1.9739381968975067e-06,0.4823695345557123
T1,age_temporal,2,0.17748823761940002,0.982932749701552,0.9793442792378453,0.9386459802538787,1.0,3.3333070278167725,0.9095950722694397,0.5,81156,24,0.00541769167622375,0.0034051984686681485,0.11066473783098973,0.0840704933227309,0.17748789709453,1.756760274597428,1.9820114773841035,1.5792723775028978,0.06687514519863506,0.07641092057747301,0.814527503526093,1.8045235802895736,0.07648290149263197,0.0872053918428719,0.693935119887165
T2,no_age,2,0.6930621862411499,0.4890704666495317,0.4815582731238496,0.5176304654442877,-1.0,,,0.5,81156,1,-0.00145989063700398,-0.004583921015514809,0.049592222976991014,0.01291877079277764,0.6930622117980074,0.6930622117980074,0.6930622117980074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,temporal_only,2,0.21895945072174072,0.9699619643074178,0.9681452324617086,0.8913963328631875,-1.0,,1.4631516933441162,0.5,81156,23,-0.005168061842387918,-0.014393176170327093,0.13038008134018603,0.09003575926945266,0.21895945413733076,0.21895945413733076,0.21895945413733076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,late_age,2,0.6930803060531616,0.4881937927503054,0.4811462361500714,0.5183356840620592,-1.0,,,0.5,81156,1,-0.0014622062637644076,-0.004583921015514809,0.049590967871178074,0.012917849670636987,0.693080289029268,0.6931007197192425,0.6930651884573303,2.0430689974463373e-05,3.169891919783735e-05,-1.4603137969970703e-06,0.4992947813822285,-1.5100571937722447e-05,4.420393814389195e-05,1.0371208190917969e-05,0.5056417489421721
T2,age_temporal,2,0.19612127542495728,0.9867203828674012,0.986554202050135,0.921015514809591,-1.0,-2.089129686355591,0.39339572191238403,0.5,81156,18,-0.00020780372486257833,0.0016253610047686179,0.0948891198522779,0.05609962230763249,0.1961212700395135,1.4230812594177953,2.044982725316788,1.2269599893782819,0.06256980444390046,0.06122175551718101,0.8300423131170663,1.8488614552772749,0.08421960609163634,0.10208288603462279,0.7242595204513399
T0,no_age,3,0.15204158425331116,0.9871088096105566,0.9870539057743796,0.9308885754583921,0.0,,,0.5,81156,17,-0.0020661464459111236,-0.004899590301564915,0.111359304631175,0.06578933982624754,0.15204159205027937,0.15204159205027937,0.15204159205027937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,temporal_only,3,0.14237716794013977,0.9884805517230395,0.9882850543074767,0.9337094499294781,0.0,,0.8328410983085632,0.5,81156,13,0.003032425701096184,0.0026126670696487364,0.14438376844243309,0.10713026989584219,0.14237717808050168,0.14237717808050168,0.14237717808050168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,late_age,3,0.1494060903787613,0.9889942084211826,0.9887054012443447,0.9407616361071932,0.0,,,0.5,81156,11,-0.006925070968617198,-0.010689099335079588,0.0987564863997965,0.0540981436375925,0.1494060873733803,0.14935657502720473,0.14934195616253204,-4.951234617556559e-05,2.90044051343762e-05,5.96055542700924e-08,0.5007052186177715,-6.413121084827218e-05,3.993468809351773e-05,8.941060514189303e-08,0.5063469675599436
T0,age_temporal,3,0.14474578201770782,0.9885263428240367,0.9882494141261813,0.9365303244005642,0.0,0.09275717288255692,0.8090118765830994,0.5,81156,12,0.003259842820514012,-0.001309691718718516,0.1260341602877787,0.0775050253957326,0.14474579647801247,0.14429810665565604,0.14442684363322225,-0.0004476898223564397,0.0003865198710562116,0.0,0.4922425952045134,-0.0003189528447902031,0.0004865131741507734,2.98027771350462e-08,0.5
T1,no_age,3,0.697242021560669,0.47411161957819337,0.4867594332351597,0.501410437235543,1.0,,,0.5,81156,4,-0.013342381519353677,-2.35072872590521e-05,0.10712903662294114,0.056927464824211564,0.6972419837718286,0.6972419837718286,0.6972419837718286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,temporal_only,3,0.24304261803627014,0.9670851571826503,0.9695447796690462,0.8808180535966149,1.0,,2.0796780586242676,0.5,81156,13,0.026564068847445433,0.023779300154476466,0.1299231150189621,0.09635996338702617,0.24304260224751492,0.24304260224751492,0.24304260224751492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,late_age,3,0.6973114013671875,0.47075308396339044,0.4850731730853421,0.4978843441466855,1.0,,,0.5,81156,4,-0.013358882198294935,-2.35072872590521e-05,0.10409638126392914,0.0540358493631781,0.6973113489083747,0.6972930968564387,0.6973399748166627,-1.8252051935881923e-05,5.2915670189239504e-05,-0.00015416741371154785,0.48166431593794073,2.8625908288027572e-05,7.531781827408049e-05,2.8014183044433594e-06,0.5007052186177715
